docId,filename,0 говорить это человек ваш весь,1 весь глаз это рука дорога,2 говорить глаз рука стол делать,3 это год который жена мой,4 спать видеть жить один голова,5 такой знать весь свой ты,6 рубль человек свой какой взять,7 это писать человек лицо самый
0,lemma_V401_Panikhida.txt,0.06793135,0.19790871,0.1230447,0.03413634,0.03635124,0.07072057,0.01471858,0.45518852
1,lemma_V402_Glupyi_francuz.txt,0.06233823,0.03589453,0.13261904,0.33086013,0.13325329,0.12709464,0.10339374,0.07454639
2,lemma_V403_Bliny.txt,0.06564409,0.02206914,0.09099807,0.49696995,0.07177612,0.0952039,0.04326662,0.11407211
3,lemma_V404_O_brennosti_(Ma.txt,0.07124578,0.09352531,0.15796538,0.2820741,0.08475259,0.05108129,0.13125234,0.12810322
4,lemma_V405_Persona.txt,0.09758917,0.03669334,0.0436549,0.07309589,0.0741215,0.08766713,0.18182824,0.40534982
5,lemma_V406_K_svedeniu_muzh.txt,0.09468277,0.06056135,0.06832669,0.31578231,0.18021234,0.12269586,0.03041366,0.12732502
6,lemma_V407_Rybe_delo_(Gust.txt,0.05664398,0.0601274,0.18175778,0.15970192,0.03514283,0.06903116,0.36770005,0.06989489
7,lemma_V408_Ivan_Matveich.txt,0.08796668,0.04345586,0.42204245,0.05969152,0.05475803,0.10247757,0.09606866,0.13353922
8,lemma_V409_Vedma.txt,0.03630263,0.52469934,0.06323197,0.03840904,0.21960433,0.03673281,0.04628745,0.03473242
9,lemma_V410_Pervyi_debut_(R.txt,0.06243587,0.09525972,0.05380204,0.03773637,0.38206597,0.2321946,0.06369082,0.07281462
10,lemma_V411_Simulyanty.txt,0.08908536,0.10539351,0.06913879,0.11021747,0.34659057,0.09442657,0.13499486,0.05015287
11,lemma_V412_U_telefona.txt,0.08253573,0.02954698,0.55858997,0.04967155,0.10871788,0.07122666,0.06698585,0.03272538
12,lemma_V413_Detvora.txt,0.01881327,0.04353002,0.57527708,0.03549703,0.07899719,0.09865056,0.09740248,0.05183238
13,lemma_V414_Nalim.txt,0.07944901,0.097315,0.62408349,0.0157129,0.06542048,0.02716103,0.02696174,0.06389634
14,lemma_V415_Otkrytie.txt,0.06084968,0.07888839,0.06093787,0.19797916,0.30247477,0.06857251,0.09432844,0.13596918
15,lemma_V416_Samyi_bolshoi_g.txt,0.04372156,0.2014651,0.13344785,0.06549759,0.19120907,0.10976243,0.16877466,0.08612174
16,lemma_V417_Iz_vospominanii.txt,0.04863015,0.0531695,0.07102364,0.20543284,0.14221719,0.23332203,0.19283884,0.05336582
17,lemma_V418_Toska.txt,0.35302042,0.20049111,0.12377121,0.01877735,0.14088843,0.07808378,0.03909622,0.04587148
18,lemma_V419_Perepolokh.txt,0.10177891,0.08921284,0.32001776,0.05580054,0.12485244,0.10141392,0.06678728,0.14013631
19,lemma_V420_V_apteke.txt,0.04328509,0.07211244,0.06548669,0.02415104,0.21886275,0.03880676,0.42403101,0.11326422
20,lemma_V421_Beseda_pyanogo_.txt,0.24927331,0.07773209,0.08201007,0.17136454,0.13317627,0.08362233,0.13155075,0.07127064
21,lemma_V422_Loshadinaya_fam.txt,0.47280999,0.07083835,0.07204512,0.03171049,0.19512268,0.04120134,0.06584366,0.05042836
22,lemma_V423_Dva_gazetchika_.txt,0.04843826,0.05590127,0.03369503,0.07572777,0.07240699,0.20625592,0.05205401,0.45552075
23,lemma_V424_Na_chuzhbine.txt,0.07836924,0.08879526,0.34570705,0.13995421,0.05559529,0.14735653,0.05657449,0.08764792
24,lemma_V425_Psikhopaty_(Sce.txt,0.09600842,0.08098466,0.08103122,0.06227222,0.09573806,0.49726051,0.05377141,0.03293349
25,lemma_V426_Ryazhenye.txt,0.04319046,0.08153687,0.13401073,0.16579061,0.11770817,0.0915332,0.12968489,0.23654506
26,lemma_V427_Sapogi.txt,0.11138566,0.03178024,0.03109551,0.03832527,0.12459617,0.06419068,0.4953836,0.10324286
27,lemma_V428_Ne_sudba.txt,0.10501136,0.42047151,0.01908165,0.03512348,0.0462613,0.2577874,0.05480964,0.06145366
